"","YEAR","MM","DD","CLRSKY_KT","sd"
"344",2001,12,10,0.774,0.0638748776906853
"345",2001,12,11,0.752,0.085848704125339
"346",2001,12,12,0.77,0.0644204936336256
"347",2001,12,13,0.778,0.0609918027279076
"348",2001,12,14,0.77,0.0608276253029822
"349",2001,12,15,0.764,0.0527257053058563
"350",2001,12,16,0.772,0.0589067059000926
"351",2001,12,17,0.756,0.0820365772079747
"352",2001,12,18,0.786,0.044497190922574
"353",2001,12,19,0.764,0.0550454357780915
"354",2001,12,20,0.776,0.0832466215530696
"355",2001,12,21,0.778,0.0788669766125214
"356",2001,12,22,0.79,0.0620483682299543
"357",2001,12,23,0.788,0.0486826457785523
"358",2001,12,24,0.772,0.0549545266561364
"359",2001,12,25,0.754,0.0618869937870632
"360",2001,12,26,0.748,0.0756306816047561
"361",2001,12,27,0.754,0.0896102672688794
"362",2001,12,28,0.764,0.0952890339965728
"363",2001,12,29,0.772,0.0746324326281812
"364",2001,12,30,0.79,0.0524404424085076
"365",2001,12,31,0.794,0.0472228758124704
"366",2002,1,1,0.788,0.0653452370108182
"367",2002,1,2,0.742,0.122556109598828
"368",2002,1,3,0.774,0.0702139587261678
"369",2002,1,4,0.762,0.0903880523078133
"370",2002,1,5,0.772,0.0637965516309463
"371",2002,1,6,0.768,0.0766159252375118
"372",2002,1,7,0.77,0.0552268050859363
"373",2002,1,8,0.764,0.0673052746818553
"374",2002,1,9,0.766,0.0804984471899924
"375",2002,1,10,0.77,0.0888819441731559
"376",2002,1,11,0.782,0.061400325732035
"377",2002,1,12,0.778,0.0649615270756469
"378",2002,1,13,0.792,0.0420713679359252
"379",2002,1,14,0.76,0.0790569415042095
"380",2002,1,15,0.762,0.0719027120489902
"381",2002,1,16,0.76,0.0644204936336256
"382",2002,1,17,0.768,0.0813633824272319
"383",2002,1,18,0.764,0.0634822809924155
"384",2002,1,19,0.792,0.0408656334834051
"385",2002,1,20,0.796,0.0456070170039655
"386",2002,1,21,0.792,0.0516720427310553
"387",2002,1,22,0.782,0.0756306816047561
"388",2002,1,23,0.776,0.0622896460095897
"389",2002,1,24,0.768,0.0901110426085505
"390",2002,1,25,0.752,0.0843800924389159
"391",2002,1,26,0.718,0.119037809119624
"392",2002,1,27,0.746,0.0792464510246358
"393",2002,1,28,0.766,0.0684105255059483
"394",2002,1,29,0.762,0.0887130204648675
"395",2002,1,30,0.77,0.0919238815542512
"396",2002,1,31,0.782,0.0657267069006199
"397",2002,2,1,0.776,0.0814248119432891
"398",2002,2,2,0.78,0.0784219357067906
"399",2002,2,3,0.798,0.0554075807087803
"400",2002,2,4,0.802,0.0554075807087803
"401",2002,2,5,0.796,0.0531977443130815
"402",2002,2,6,0.788,0.0576194411635517
"403",2002,2,7,0.776,0.073348483283569
"404",2002,2,8,0.764,0.0687749954561976
"405",2002,2,9,0.788,0.0383405790253616
"406",2002,2,10,0.798,0.0443846820423443
"407",2002,2,11,0.784,0.0541294744108974
"408",2002,2,12,0.79,0.0418330013267038
"409",2002,2,13,0.776,0.096591925128346
"410",2002,2,14,0.788,0.0496990945591567
"411",2002,2,15,0.778,0.0618061485614498
"412",2002,2,16,0.798,0.0443846820423443
"413",2002,2,17,0.778,0.0676017751246222
"414",2002,2,18,0.788,0.0501996015920445
"415",2002,2,19,0.766,0.0684105255059483
"416",2002,2,20,0.764,0.0743639697703128
"417",2002,2,21,0.774,0.0572712842531054
"418",2002,2,22,0.798,0.0486826457785523
"419",2002,2,23,0.802,0.0408656334834051
"420",2002,2,24,0.768,0.0825832912882503
"421",2002,2,25,0.786,0.0673052746818554
"422",2002,2,26,0.792,0.0576194411635517
"423",2002,2,27,0.79,0.058309518948453
"424",2002,2,28,0.794,0.0568330889535313
"425",2002,3,1,0.79,0.0570087712549569
"426",2002,3,2,0.76,0.0854400374531753
"427",2002,3,3,0.76,0.0897217922246318
"428",2002,3,4,0.768,0.085848704125339
"429",2002,3,5,0.79,0.0632455532033676
"430",2002,3,6,0.768,0.123773987574126
"431",2002,3,7,0.8,0.0578791845139511
"432",2002,3,8,0.786,0.0589915248150105
"433",2002,3,9,0.774,0.0598331012066064
"434",2002,3,10,0.77,0.0648074069840786
"435",2002,3,11,0.766,0.0763544366752843
"436",2002,3,12,0.744,0.11674759098157
"437",2002,3,13,0.77,0.0651920240520265
"438",2002,3,14,0.784,0.0585662018573853
"439",2002,3,15,0.768,0.0719027120489902
"440",2002,3,16,0.798,0.056302753041037
"441",2002,3,17,0.786,0.0581377674149945
"442",2002,3,18,0.78,0.0689202437604511
"443",2002,3,19,0.764,0.0709224929059886
"444",2002,3,20,0.806,0.0357770876399966
"445",2002,3,21,0.79,0.0458257569495584
"446",2002,3,22,0.798,0.0460434577328853
"447",2002,3,23,0.79,0.051478150704935
"448",2002,3,24,0.794,0.0545893762558247
"449",2002,3,25,0.792,0.0661059755241536
"450",2002,3,26,0.792,0.0601664358259653
"451",2002,3,27,0.806,0.0545893762558247
"452",2002,3,28,0.814,0.0541294744108974
"453",2002,3,29,0.81,0.0628490254498827
"454",2002,3,30,0.808,0.0645755371638518
"455",2002,3,31,0.79,0.058309518948453
"456",2002,4,1,0.79,0.0484767985741633
"457",2002,4,2,0.778,0.0645755371638517
"458",2002,4,3,0.77,0.0902773504263389
"459",2002,4,4,0.79,0.0474341649025257
"460",2002,4,5,0.792,0.0408656334834051
"461",2002,4,6,0.776,0.0634822809924155
"462",2002,4,7,0.76,0.073143694191639
"463",2002,4,8,0.782,0.0454972526643093
"464",2002,4,9,0.734,0.0896102672688794
"465",2002,4,10,0.754,0.103101891350256
"466",2002,4,11,0.786,0.0642650760522385
"467",2002,4,12,0.79,0.0703562363973514
"468",2002,4,13,0.778,0.0634034699365894
"469",2002,4,14,0.754,0.0926282894152753
"470",2002,4,15,0.768,0.0653452370108182
"471",2002,4,16,0.778,0.0870057469366248
"472",2002,4,17,0.726,0.103101891350256
"473",2002,4,18,0.734,0.087920418561333
"474",2002,4,19,0.764,0.0650384501660364
"475",2002,4,20,0.78,0.051478150704935
"476",2002,4,21,0.776,0.0461519230368573
"477",2002,4,22,0.756,0.074027022093287
"478",2002,4,23,0.732,0.0978263768111648
"479",2002,4,24,0.736,0.0890505474435728
"480",2002,4,25,0.74,0.0894427190999916
"481",2002,4,26,0.75,0.080311892021045
"482",2002,4,27,0.764,0.0756967634711022
"483",2002,4,28,0.762,0.0766159252375118
"484",2002,4,29,0.786,0.0550454357780915
"485",2002,4,30,0.786,0.0492950301754649
"486",2002,5,1,0.794,0.0502991053598372
"487",2002,5,2,0.79,0.0469041575982343
"488",2002,5,3,0.782,0.0554075807087803
"489",2002,5,4,0.754,0.0723187389270582
"490",2002,5,5,0.786,0.0461519230368573
"491",2002,5,6,0.78,0.0552268050859363
"492",2002,5,7,0.752,0.073280283842245
"493",2002,5,8,0.76,0.0681909084849293
"494",2002,5,9,0.76,0.073143694191639
"495",2002,5,10,0.76,0.0781024967590665
"496",2002,5,11,0.756,0.066558245169175
"497",2002,5,12,0.766,0.074027022093287
"498",2002,5,13,0.76,0.0731436941916389
"499",2002,5,14,0.786,0.0364691650576209
"500",2002,5,15,0.772,0.0725947656515261
"501",2002,5,16,0.774,0.0577061521850141
"502",2002,5,17,0.756,0.0614817045957576
"503",2002,5,18,0.746,0.0782943165242535
"504",2002,5,19,0.728,0.112561094522042
"505",2002,5,20,0.748,0.0752994023880668
"506",2002,5,21,0.75,0.0734846922834953
"507",2002,5,22,0.758,0.0759605160593318
"508",2002,5,23,0.738,0.085848704125339
"509",2002,5,24,0.76,0.0721110255092798
"510",2002,5,25,0.76,0.0667083203206317
"511",2002,5,26,0.758,0.0903880523078133
"512",2002,5,27,0.772,0.0810555365166378
"513",2002,5,28,0.754,0.06308724118235
"514",2002,5,29,0.764,0.0622896460095897
"515",2002,5,30,0.756,0.0766811580507232
"516",2002,5,31,0.766,0.0531977443130816
"517",2002,6,1,0.762,0.0544977063737549
"518",2002,6,2,0.75,0.0667083203206317
"519",2002,6,3,0.752,0.0593295878967653
"520",2002,6,4,0.728,0.0825832912882503
"521",2002,6,5,0.718,0.104976187776086
"522",2002,6,6,0.738,0.0782304288624318
"523",2002,6,7,0.74,0.0717635004720366
"524",2002,6,8,0.766,0.0512835256198323
"525",2002,6,9,0.764,0.0709224929059885
"526",2002,6,10,0.75,0.0616441400296898
"527",2002,6,11,0.742,0.0923038460737146
"528",2002,6,12,0.732,0.0807465169527454
"529",2002,6,13,0.728,0.110770032048384
"530",2002,6,14,0.726,0.103101891350256
"531",2002,6,15,0.708,0.118827606220104
"532",2002,6,16,0.72,0.102225241501304
"533",2002,6,17,0.712,0.0988433103452125
"534",2002,6,18,0.754,0.0634822809924155
"535",2002,6,19,0.754,0.057706152185014
"536",2002,6,20,0.748,0.0739594483484024
"537",2002,6,21,0.768,0.0438178046004133
"538",2002,6,22,0.774,0.0512835256198323
"539",2002,6,23,0.786,0.0439317652729776
"540",2002,6,24,0.758,0.0661059755241536
"541",2002,6,25,0.744,0.0661815684310972
"542",2002,6,26,0.712,0.0766159252375118
"543",2002,6,27,0.736,0.0602494813255683
"544",2002,6,28,0.744,0.0594138031100518
"545",2002,6,29,0.746,0.066932802122726
"546",2002,6,30,0.74,0.085146931829632
"547",2002,7,1,0.764,0.0378153408023781
"548",2002,7,2,0.752,0.0465832587954085
"549",2002,7,3,0.732,0.0739594483484024
